member,C1,C2,lambda_wm2k,gamma,sai_efficacy,sai_nonlinearity_alpha,lag_years,ar1_phi,noise_sigma_c,peak_sai_command_wm2,peak_realized_cooling_wm2,max_cap_exceedance_c,mean_cap_exceedance_c,raw_peak_annual_warming_jump_c_yr_including_ar1_noise,raw_peak_annual_cooling_jump_c_yr_including_ar1_noise,max_command_change_wm2_yr
136,10.272570916861604,75.65814404787884,1.5982265362782435,0.43422839765233984,0.766558900410018,0.07462249458851855,2,0.669083930032901,0.12868291878899177,1.9343171485864146,1.295736756077527,0.41157453614962725,0.053583009745792894,0.45128423834229425,0.3226556721768389,0.20000000000000007
137,7.841141417833288,148.2536889331608,1.2602700157517903,0.4854243531627731,0.9682989569219317,0.23583603248617738,2,0.4517757069713624,0.12220046981657637,1.7479267030706274,1.1984752312913762,0.3414033681295501,0.042536970412760854,0.3411683404211632,0.35847588153424326,0.20000000000000007
138,10.839735846801215,112.2956514092923,1.175550004036396,0.44217925418855974,0.756089541181453,0.22464322994963334,1,0.6869833520112358,0.07465027562885136,1.9481943979532768,1.0245962221468967,0.36001333970812244,0.04747389148204526,0.18021909658605684,0.22434573819665515,0.20000000000000007
139,8.73861041410493,86.13769851319513,1.1585973271818757,0.42631826622866753,1.0889932418198083,0.17035738769823391,3,0.30159020641215595,0.12361525779547888,1.4491665955718274,1.2656690245912796,0.33944196573565444,0.03309642757850102,0.40340620310360276,0.4044426358082478,0.20000000000000007
140,7.960744826028068,102.61790447482807,0.993766996974285,0.4383301305774103,0.9016555450331991,0.08264876895109004,3,0.6245053542123684,0.12933223541500272,1.7919142136910395,1.4072729598888933,0.48535421740498275,0.03376257767541043,0.3111944264297064,0.23777927075430672,0.20000000000000007
141,6.631311370259185,85.88873623663076,0.8261761422180912,0.6176615735452132,0.766475616702546,0.20537494632018793,2,0.42160110922128746,0.08449335882505231,1.6064071145583863,0.9258269636510066,0.34916025700930753,0.03488278719805065,0.230116289786092,0.281745765127292,0.20000000000000007
142,6.640069876645814,143.72933740054964,0.9761611817487701,0.8669412135653796,0.7879193391787194,0.04953136834502328,3,0.5749107824903379,0.10764453162601306,1.8139043388818898,1.3113884020395088,0.5748067713025087,0.04048201888966069,0.2770944921328202,0.34275073631873454,0.20000000000000007
143,7.856836588555026,92.79330694877842,1.100978383917816,0.43762644209100676,0.830427800864316,0.07186950331505636,1,0.40018727649536034,0.10592944187185405,1.5255610342818169,1.1416917151654773,0.5011760643620655,0.03865664289187396,0.4018478579908298,0.3410953743649716,0.20000000000000007
144,8.074019880348327,125.76881461669595,0.923810183884731,0.5663833554664174,0.9214205455294242,0.08407518000818384,2,0.4279226956823456,0.1259931988446716,1.442353755871934,1.1852800359788591,0.3957213655015759,0.03087553873293333,0.5224624451466531,0.3028530113435941,0.20000000000000007
145,10.349923185282552,130.25409429143207,1.7990886419186243,0.6549619092734005,0.9545315298547465,0.1290449137406263,1,0.36432681520907556,0.11305366312028535,1.8128523340664362,1.4023579679820086,0.4532160763457105,0.055389647835915545,0.4387837386464797,0.48646638376516393,0.20000000000000007
