year,co2_ppm,baseline_temperature_c,temperature_cap_c,controlled_temperature_c,sai_command_magnitude_wm2,sai_realized_forcing_wm2
2181,311.6519648984156,1.1974790597905471,1.0,0.8636075403216279,0.47049644648980193,-0.44901646904943515
2182,311.5981521548988,1.1877756637547283,1.0,0.8554529801517643,0.46616003589435484,-0.44535205913841697
2183,311.55294460175446,1.186669547480903,1.0,0.8559750698271583,0.4618392879891696,-0.44146484380239254
2184,311.28326131456,1.1776909741462955,1.0,0.8486825411178796,0.457299764222706,-0.4375878563102459
2185,311.0135780273655,1.1899009438041892,1.0,0.862650843584756,0.45317928953024866,-0.43351045666802235
2186,310.743894740171,1.1735375865428586,1.0,0.848046785494695,0.44862069309508956,-0.42980579912806804
2187,310.47421145297653,1.164713436333028,1.0,0.8410410777417392,0.4438519254273417,-0.4257031822919761
2188,310.20452816578205,1.178164803461181,1.0,0.8563832276560082,0.439543422257022,-0.42140685609159717
2189,309.9348448785876,1.1719575146149068,1.0,0.8520623702509194,0.43510529336454956,-0.41752117967549907
2190,309.6651615913931,1.174047168533159,1.0,0.8560542035660827,0.4307869194715321,-0.4135146060855823
2191,309.3954783041986,1.172254473516678,1.0,0.856161906195325,0.42647177665739183,-0.409612247669376
2192,309.1257950170041,1.171969208407866,1.0,0.8577775047306195,0.42220510179931037,-0.40570896584121546
2193,308.85611172980964,1.1503895843674403,1.0,0.838094980669549,0.41734795121939683,-0.40184574305672427
2194,308.5864284426152,1.1570216161510054,1.0,0.8467000112065621,0.4127489515555937,-0.3974432938878013
2195,308.3167451554207,1.1454866132129011,1.0,0.8371621168711797,0.4078638150617291,-0.39327032198626244
2196,308.0470618682262,1.1442510765019351,1.0,0.8379806682464654,0.4030032351091231,-0.38883291016247834
2197,307.7773785810317,1.1448924744869218,1.0,0.840716827008573,0.39822473991938023,-0.38441287904442145
2198,307.50769529383723,1.1376389130139313,1.0,0.8355793514307246,0.393292120462302,-0.38006269573970014
2199,307.23801200664275,1.1546192142450702,1.0,0.8547137207231204,0.3889335320839956,-0.3755672057359049
2200,306.96832871944827,1.1440303852865124,1.0,0.8462341901554531,0.38432055778865926,-0.3715906446542271
2201,306.6986454322538,1.1446513733916197,1.0,0.8489673381580904,0.37978957793340196,-0.36737766317690995
2202,306.4289621450593,1.155834223191824,1.0,0.8622560170378502,0.37565725844453746,-0.3632352236593083
2203,306.1592788578648,1.13649159486928,1.0,0.8449647266022449,0.3710062002426048,-0.35945350046191943
2204,305.88959557067034,1.1238496715490505,1.0,0.8344045084277915,0.3660383354954385,-0.3551927545368732
2205,305.61991228347586,1.107047000651718,1.0,0.8197494328868011,0.3606308184820426,-0.35063675614547724
2206,305.3502289962814,1.0980634619721226,1.0,0.8130215378261094,0.3550214646168259,-0.3456716370352372
2207,305.0805457090869,1.1018068686006872,1.0,0.8191283484787928,0.3495953150711897,-0.34051466289546745
2208,304.8108624218924,1.101054492728847,1.0,0.8207964280600655,0.34421920791299165,-0.3355197779720588
2209,304.5411791346979,1.0995737160439234,1.0,0.8217737316623321,0.3388724198628616,-0.33056479757861995
2210,304.27149584750345,1.101347797853131,1.0,0.8260321033126118,0.33365338296223995,-0.3256307463818803
2211,304.00181256030896,1.0784366566049362,1.0,0.8056101457150655,0.32782168733369194,-0.32080871345872775
2212,303.7321292731145,1.0875369298647073,1.0,0.8172868217974104,0.32234029198761427,-0.31541375116006687
2213,303.46244598592,1.091566659942663,1.0,0.8239129491164314,0.3170576804611072,-0.31033622756278356
2214,303.1927626987255,1.085957401421504,1.0,0.8208910656046511,0.3116844124292467,-0.3054367522765808
2215,302.92307941153103,1.0816042375763113,1.0,0.8191334395452959,0.3062584156156056,-0.30044705285309287
2216,302.6533961243365,1.0815300229378273,1.0,0.8216704322765747,0.3009085285839028,-0.2954020904719098
2217,302.38371283714207,1.0652853188288494,1.0,0.8080409501413859,0.2951497570881444,-0.2904216851502138
2218,302.1140295499476,1.0655477859706848,1.0,0.8109787469687728,0.2894791194972076,-0.28505373230646575
2219,301.8443462627531,1.0453399180197072,1.0,0.7934810751895522,0.28328355175289416,-0.27976092591671625
2220,301.5746629755586,1.0419268196192302,1.0,0.7928765451727324,0.2770698481080761,-0.27397020154086005
2221,301.30497968836414,1.0377633273316658,1.0,0.7915987595954188,0.27081781089593865,-0.2681541563439442
2222,301.03529640116966,1.0436477206815689,1.0,0.8004333031791019,0.2648308099913117,-0.26229375251190407
2223,300.7656131139752,1.0482313151730138,1.0,0.8079815966593538,0.25907025789109234,-0.25667379452247985
2224,300.4959298267807,1.050067444825334,1.0,0.8127656926169006,0.25345322866959935,-0.2512590095237199
2225,300.2262465395862,1.0523183198135777,1.0,0.8179360440478411,0.24799130999103458,-0.2459721368013906
2226,299.95656325239173,1.0439647981117632,1.0,0.8124632825824367,0.24236520846850768,-0.24082462041952285
2227,299.68687996519725,1.02203024309224,1.0,0.7934062793838031,0.23616739685002178,-0.23551551640089904
2228,299.4171966780028,1.0224682355048484,1.0,0.7967995846115457,0.23007138438836816,-0.22965884505791262
2229,299.1475133908083,0.9998138210269912,1.0,0.7771464358055395,0.22338577746253435,-0.22389009976394333
2230,298.8778301036138,0.9938588530133337,1.0,0.7743091701484478,0.2166150525669878,-0.2175539621456588
2231,298.6081468164193,1.0009817691877734,1.0,0.7846495075088884,0.21015453779225443,-0.21112705674750684
2232,298.33846352922484,1.013499000133379,1.0,0.8004180909503704,0.20416708052076554,-0.2049851116256954
2233,298.0687802420304,1.0011024600127223,1.0,0.7912366065905199,0.19790417871848112,-0.1992845979734464
2234,297.7990969548359,1.0118543790715029,1.0,0.8052178762232409,0.19206071500517835,-0.1933132780550184
2235,297.5294136676414,0.992683547293275,1.0,0.7892328231848865,0.18573769970072493,-0.1877339568472385
2236,297.2597303804469,0.9957223177170348,1.0,0.7954942785991297,0.17960252805869883,-0.18168813925495056
