tau_years,year,co2_ppm,baseline_temperature_c,temperature_cap_c,controlled_temperature_c,sai_command_magnitude_wm2,aerosol_reservoir_magnitude_wm2,sai_realized_forcing_wm2
0.67,2155,312.6155514674147,1.2752497862894046,1.0,0.9070926787433437,0.5632355828329462,0.5308144070903376,-0.5308144070903376
0.67,2156,312.1742286704877,1.2793991435488614,1.0,0.9122014004108467,0.5606016248452715,0.5283051851856525,-0.5283051851856525
0.67,2157,311.84633188836415,1.2661154455278436,1.0,0.8998600209018655,0.5575974254723275,0.525949088633526,-0.525949088633526
0.67,2158,311.8932269365416,1.2719811517053463,1.0,0.9066882031816439,0.5547980715677768,0.5233742241438177,-0.5233742241438177
0.67,2159,311.9273476001471,1.260027630875699,1.0,0.8957004288576349,0.5516690844335058,0.5208883913947948,-0.5208883913947948
0.67,2160,311.95454737836326,1.2394744373652378,1.0,0.8761460958677374,0.5479534673095381,0.5181965953786637,-0.5181965953786637
0.67,2161,312.00719763098823,1.2296278807267764,1.0,0.8673878479931354,0.5439751027493321,0.5150566508503167,-0.5150566508503167
0.67,2162,312.0825532910606,1.225769052162351,1.0,0.8647241478348533,0.5399168271843777,0.5116343610861929,-0.5116343610861929
0.67,2163,312.19141695562496,1.2211355241761173,1.0,0.8613821632282328,0.5357582920812246,0.50809152675569,-0.50809152675569
0.67,2164,312.2620316414223,1.2375879235703315,1.0,0.879211820796906,0.5321346467051319,0.5044504416539658,-0.5044504416539658
0.67,2165,312.2564786882802,1.2382628942697895,1.0,0.8812791860930864,0.5285730222879245,0.5011509856564849,-0.5011509856564849
0.67,2166,312.19521639926955,1.2474273672481997,1.0,0.8918318675139578,0.5253279783133431,0.49796881403100224,-0.49796881403100224
0.67,2167,312.16429303601217,1.254278606959493,1.0,0.9000352948899555,0.5223290371600419,0.49502822267141,-0.49502822267141
0.67,2168,312.1350135535085,1.2479490481653652,1.0,0.8950015471525246,0.5191790835746176,0.49230924980802326,-0.49230924980802326
0.67,2169,312.1034401230786,1.2412332700427888,1.0,0.8895498978942913,0.5158655805114464,0.4895349684777239,-0.4895349684777239
0.67,2170,312.07250060847025,1.2303023685238434,1.0,0.8798795412520893,0.512261966749009,0.4866342834634815,-0.4866342834634815
0.67,2171,312.02636463111736,1.2101701714394657,1.0,0.8610395030747242,0.5080931518412508,0.4835038836286268,-0.4835038836286268
